mixed_file,clean_file,noise_file,noise_category,target_snr_db,actual_snr_db,sample_rate,duration_seconds
mixed_0001.wav,book_00025_chp_0019_reader_04069_30_seg_0_seg1.wav,typing_Freesound_validated_345955_0.wav,typing,-5,-5.0,48000,3.328
mixed_0002.wav,book_00028_chp_0031_reader_05303_61_seg_1_seg1.wav,door_Freesound_validated_127798_2.wav,door,0,-0.0,48000,5.664
mixed_0003.wav,book_00000_chp_0009_reader_06709_6_seg_1_seg1.wav,typing_Freesound_validated_458267_4.wav,typing,10,10.0,48000,4.832
mixed_0004.wav,book_00028_chp_0031_reader_05303_53_seg_1_seg1.wav,door_Freesound_validated_149162_0.wav,door,5,5.0,48000,2.992
mixed_0005.wav,book_00028_chp_0031_reader_05303_43_seg_2_seg1.wav,typing_Freesound_validated_455043_14.wav,typing,20,20.0,48000,3.104
mixed_0006.wav,book_00002_chp_0005_reader_11980_6_seg_0_seg1.wav,copy-machine_Freesound_validated_425222_27.wav,copy-machine,20,20.0,48000,4.288
mixed_0007.wav,book_00028_chp_0031_reader_05303_45_seg_2_seg2.wav,door_Freesound_validated_136537_0.wav,door,0,-0.0,48000,7.568
mixed_0008.wav,book_00028_chp_0031_reader_05303_80_seg_2_seg2.wav,door_Freesound_validated_83507_0.wav,door,10,10.0,48000,2.72
mixed_0009.wav,book_00028_chp_0031_reader_05303_58_seg_0_seg1.wav,door_Freesound_validated_202287_0.wav,door,15,15.0,48000,9.2
mixed_0010.wav,book_00028_chp_0038_reader_05919_5_seg_0_seg1.wav,typing_Freesound_validated_455044_1.wav,typing,0,0.0,48000,6.512
mixed_0011.wav,book_00028_chp_0031_reader_05303_60_seg_0_seg3.wav,typing_Freesound_validated_331718_3.wav,typing,-5,-5.0,48000,3.712
mixed_0012.wav,book_00028_chp_0031_reader_05303_17_seg_1_seg1.wav,door_Freesound_validated_193830_0.wav,door,0,0.0,48000,1.568
mixed_0013.wav,book_00002_chp_0005_reader_11980_19_seg_0_seg2.wav,typing_Freesound_validated_328653_3.wav,typing,5,5.0,48000,3.152
mixed_0014.wav,book_00028_chp_0031_reader_05303_60_seg_1_seg2.wav,typing_Freesound_validated_436882_2.wav,typing,0,0.0,48000,2.784
mixed_0015.wav,book_00028_chp_0031_reader_05303_69_seg_0_seg1.wav,typing_Freesound_validated_396304_5.wav,typing,-5,-5.0,48000,6.88
mixed_0016.wav,book_00028_chp_0038_reader_05919_0_seg_1_seg3.wav,door_Freesound_validated_130655_1.wav,door,10,10.0,48000,2.797
mixed_0017.wav,book_00000_chp_0009_reader_06709_19_seg_2_seg1.wav,door_Freesound_validated_179351_2.wav,door,20,20.0,48000,5.68
mixed_0018.wav,book_00026_chp_0039_reader_04408_3_seg_2_seg2.wav,door_Freesound_validated_15422_5.wav,door,15,15.0,48000,4.912
mixed_0019.wav,book_00028_chp_0015_reader_08897_16_seg_0_seg1.wav,typing_Freesound_validated_426338_4.wav,typing,15,15.0,48000,4.656
mixed_0020.wav,book_00028_chp_0031_reader_05303_48_seg_1_seg4.wav,door_Freesound_validated_152888_0.wav,door,20,20.0,48000,1.488
mixed_0021.wav,book_00026_chp_0039_reader_04408_21_seg_1_seg1.wav,typing_Freesound_validated_344138_5.wav,typing,-5,-5.0,48000,6.176
mixed_0022.wav,book_00028_chp_0031_reader_05303_16_seg_0_seg3.wav,door_Freesound_validated_191666_7.wav,door,15,15.0,48000,3.664
mixed_0023.wav,book_00028_chp_0031_reader_05303_47_seg_1_seg1.wav,typing_Freesound_validated_344138_7.wav,typing,-5,-5.0,48000,5.952
mixed_0024.wav,book_00028_chp_0015_reader_08897_19_seg_2_seg1.wav,door_Freesound_validated_74358_1.wav,door,15,15.0,48000,4.352
mixed_0025.wav,book_00008_chp_0146_reader_07907_4_seg_1_seg1.wav,typing_Freesound_validated_450281_18.wav,typing,20,20.0,48000,2.96
mixed_0026.wav,book_00028_chp_0031_reader_05303_34_seg_1_seg1.wav,door_Freesound_validated_188289_1.wav,door,15,15.0,48000,7.84
mixed_0027.wav,book_00000_chp_0009_reader_06709_11_seg_2_seg1.wav,door_Freesound_validated_202515_7.wav,door,5,5.0,48000,4.832
mixed_0028.wav,book_00026_chp_0039_reader_04408_1_seg_1_seg2.wav,door_Freesound_validated_107118_0.wav,door,20,20.0,48000,2.336
